key	text	tooltip
#Loc;1;text/db/dyn_dis.loc		
incidents_localised_title_dyn_dis_aztec_invasion_stage_2_trigger	The Enactment of the Great Plan	true
incidents_localised_title_dyn_dis_aztec_invasion_stage_1_trigger	El silencio de los mares del sur	true
incidents_localised_title_dyn_dis_aztec_invasion_early_warning	Temblores en la jungla	true
incidents_localised_description_dyn_dis_aztec_invasion_stage_2_trigger	A lo largo y ancho del mundo, un mensaje ha sido oído. \\n\\n"El Gran Plan ha sido entendido. Y ninguno de vosotros formáis parte de él."\\n\\nLa invasión ha comenzado.	true
incidents_localised_description_dyn_dis_aztec_invasion_early_warning	On the dense jungles of Lustria, tremors began. And they haven't stop. Something is happening on Lustria... Prepare for the worst.	true
incidents_localised_description_dyn_dis_aztec_invasion_stage_1_trigger	Ships sailing through the southern seas are dissapearing without a trace. First tremors, then this... I'm telling you, it's the end of the world.	true
incidents_button_text_dyn_dis_aztec_invasion_stage_2_trigger	They're coming!	true
incidents_button_text_dyn_dis_aztec_invasion_stage_1_trigger	Aumenta la guardia en los puertos, por si acaso.	true
effect_bundles_localised_description_dyn_dis_aztec_invasion_early_warning	After the recent tremors, people has leave the ports in case a giant wave comes...	true
effect_bundles_localised_description_dyn_dis_aztec_invasion_stage_1_trigger	These dissapearances are driving sailors mad....	true
effect_bundles_localised_description_dyn_dis_aztec_invasion_stage_2_trigger	¡Corred! ¡Huid del mar!	true
effect_bundles_localised_title_dyn_dis_aztec_invasion_early_warning	Temblores en la jungla	true
effect_bundles_localised_title_dyn_dis_aztec_invasion_stage_1_trigger	El silencio de los mares del sur	true
effect_bundles_localised_title_dyn_dis_aztec_invasion_stage_2_trigger	The Enactment of the Great Plan	true
diplomacy_strings_string_personality_desc_short_lizardmen_aztec_invasion	Enactor of the Great Plan	true
diplomacy_strings_string_personality_desc_long_lizardmen_aztec_invasion	It will enact the Great Plan of the Old Ones. Even if it means to destroy all other races.	true
mct_dyn_dis_mod_title	Desastres dinámicos	true
mct_dyn_dis_mod_desc	Un mod flexible que genera desastres a lo largo de la campaña, para hacer las cosas mas interesantes.	true
mct_dyn_dis_enable	Activar "Desastres dinámicos"	true
mct_dyn_dis_enable_tooltip	Activa/desactiva el mod entero.\\n\\nSe puede desactivar en mitad de una campaña, pero los desastres que hayan empezado no se pueden parar y continuarán hasta que finalizen.	true
mct_dyn_dis_aztec_invasion_enable	Activar desastre "Ejecución del Gran Plan"	true
mct_dyn_dis_aztec_invasion_enable_tooltip	Activa/desactiva el desastre "Ejecución del Gran Plan".\\n\\nLos Slann de Lustria por fin han comprendido el Gran Plan. Y planean llevarlo a cabo.\\n\\nSe puede desactivar tranquilamente en mitad de una campaña, pero si ya has recibido el primer aviso, el desastre continuara.	true
mct_dyn_dis_mod_config	1.Configuración global	true
mct_dyn_dis_disasters_config	2.Configuración de desastres	true
mct_dyn_dis_min_turn_value	Turno mínimo	true
mct_dyn_dis_difficulty_mod	Modificador de dificultad	true
mct_dyn_dis_min_turn_value_tooltip	Turno mínimo requerido para que el desastre comience.	true
mct_dyn_dis_difficulty_mod_tooltip	Modificador de dificultad aplicado al desastre.	true
mct_dyn_dis_grudge_too_far_enable	Activar desastre "Demasiados agravios" (Vanilla)	true
mct_dyn_dis_grudge_too_far_enable_tooltip	Activa/desactiva el desastre "Demasiados agravios" (Vanilla).\\n\\nSe puede desactivar tranquilamente en mitad de una campaña, pero si ya has recibido el primer aviso, el desastre continuara.	true
mct_dyn_dis_pyramid_of_nagash_enable	Activar desastre "Pirámide de Nagash" (Vanilla)	true
mct_dyn_dis_pyramid_of_nagash_enable_tooltip	Activa/desactiva el desastre "Pirámide de Nagash" (Vanilla).\\n\\nSe puede desactivar tranquilamente en mitad de una campaña, pero si ya has recibido el primer aviso, el desastre continuara.	true
mct_dyn_dis_vampires_rise_enable	Activar desastre "Ascensión vampírica" (Vanilla)	true
mct_dyn_dis_vampires_rise_enable_tooltip	Activa/desactiva el desastre "Ascensión vampírica" (Vanilla).\\n\\Se puede desactivar tranquilamente en mitad de una campaña, pero si ya has recibido el primer aviso, el desastre continuara.	true
mct_dyn_dis_waaagh_enable	Activar desastre "¡El ¡Waaagh! máz grande!" (Vanilla)	true
mct_dyn_dis_waaagh_enable_tooltip	Activa/desactiva el desastre "¡El ¡Waaagh! máz grande!" (Vanilla).\\n\\nSe puede desactivar tranquilamente en mitad de una campaña, pero si ya has recibido el primer aviso, el desastre continuara.	true
mct_dyn_dis_wild_hunt_enable	Activar desastre  "La Cacería Salvaje" (Vanilla)	true
mct_dyn_dis_chaos_invasion_enable_tooltip	Activa/desactiva el desastre "Invasión del Caos". \\n\\nEl Caos se alza en el norte. Los demonios recorren la tierra otrora segura, y la corrupción se extiende con el viento. ¿Serás capaz de resistir contral la marea del Caos y salvar el mundo?\\n\\nSe puede desactivar tranquilamente en mitad de una campaña, pero si ya has recibido el primer aviso, el desastre continuara.	true
mct_dyn_dis_raiding_parties_enable	Activar desastre "Asaltos costeros"	true
mct_dyn_dis_raiding_parties_enable_tooltip	Activa/desactiva el desastre "Asaltos costeros".\\n\\nLos mares del mundo entero están plagados de esclavizadores elfos oscuros, asaltantes de tribus norse, y vampiros de las profundidades. Solo... intenta no atraer su atención.\\n\\nSe puede desactivar tranquilamente en mitad de una campaña, pero si ya has recibido el primer aviso, el desastre continuara.	true
incidents_localised_title_fro_dyn_dis_raiding_parties_warning	Velas negras y andrajosas	true
incidents_localised_description_fro_dyn_dis_raiding_parties_warning	Velas negras y andrajosas han sido vistas en el horizonte. No sabemos donde atacarán. Prepárate.	true
incidents_localised_title_fro_dyn_dis_raiding_parties_trigger	¡Piratas!	true
incidents_localised_description_fro_dyn_dis_raiding_parties_trigger	Los piratas han arribado a la costa. Suerte a los pobres diablos que han atraido su atención...	true
incidents_button_text_fro_dyn_dis_raiding_parties_warning	Vigila los mares.	true
incidents_button_text_fro_dyn_dis_raiding_parties_trigger	¡Aquí vienen!	true
mct_dyn_dis_chianchi_assault_enable	Activar desastre "Asalto de Chi'an Chi"	true
mct_dyn_dis_chianchi_assault_enable_tooltip	Activa/desactiva el desastre "Asalto de Chi'an Chi".\\n\\nChi'an Chi siempre está planeando y conspirando más ayá del Gran Bastión. Asegúrate de que el Gran Bastión aguante, o puede que averiguemos lo que está planeando...\\n\\nSe puede desactivar tranquilamente en mitad de una campaña, pero si ya has recibido el primer aviso, el desastre continuara.	true
incidents_localised_title_fro_dyn_dis_chianchi_assault_warning	¡La mirada de Chi'an Chi está sobre ellos!	true
incidents_localised_title_fro_dyn_dis_chianchi_assault_wall_assault_trigger	¡Chi'an Chi envía refuerzos!	true
incidents_localised_title_fro_dyn_dis_chianchi_assault_daemonic_invasion_trigger	¡La invasión de Chi'an Chi ha comenzado!	true
incidents_localised_title_fro_dyn_dis_chianchi_assault_finish_before_assault	The Great Bastion stands strong!	true
incidents_localised_description_fro_dyn_dis_chianchi_assault_warning	Chi'an Chi is watching with interest the Great Kurgan horde that approaches the Great Bastion. Why? What twisted scheme is he planning now?	true
incidents_localised_description_fro_dyn_dis_chianchi_assault_wall_assault_trigger	Chi'an Chi has send reinforcements to the Great Kurgan horde attacking the Great Bastion! The bastion must not fall!	true
incidents_localised_description_fro_dyn_dis_chianchi_assault_daemonic_invasion_trigger	The Great Bastion has been breached! Send messengers to all the corners of Grand Cathay! We need to rebuild it soon, or the hordes of Chi'an Chi will flood our lands!	true
incidents_localised_description_fro_dyn_dis_chianchi_assault_finish_before_assault	The Great Bastion has resisted the attack and the Chaos Hordes have been repelled... but was this part of Chi'an Chi's plan?	true
incidents_localised_title_fro_dyn_dis_great_uprising_stage_1_warning	Morrslieb está... ¿creciendo?	true
incidents_localised_title_fro_dyn_dis_great_uprising_stage_1_trigger	¡El Imperio Subterráneo contraataca!	true
incidents_localised_title_fro_dyn_dis_great_uprising_stage_2_trigger	¡Imperios bajo ataque!	true
incidents_localised_title_fro_dyn_dis_great_uprising_stage_3_trigger	¡La Gran Guerra de Lustria ha comenzado!	true
incidents_localised_title_fro_dyn_dis_great_uprising_stage_4_trigger	¡El Karaz Ankor bajo asedio!	true
incidents_localised_title_fro_dyn_dis_great_uprising_stage_5_trigger	¡Karaz-a-Karak bajo asedio!	true
incidents_localised_description_fro_dyn_dis_great_uprising_stage_1_warning	Scholars all around the world are perplex. For the first time in recorded history, Morrslieb has grown in size. Nobody knows why.... yet.	true
incidents_localised_description_fro_dyn_dis_great_uprising_stage_1_trigger	As news of hordes of Skaven (they do exists!) running wild over Estalia and Tilea reached us, we found new information: Morrslieb is not bigger, is closer! And it's already affecting the winds of magic all around the world!	true
incidents_localised_description_fro_dyn_dis_great_uprising_stage_2_trigger	The Skaven are a secret no more! Hordes are pouring into the Empire, the northern coast of Arabia, and even the hearthlands of Grand Cathay!	true
incidents_localised_description_fro_dyn_dis_great_uprising_stage_3_trigger	The Great Trans-oceanic Intercontinental Tunnels have been repaired. The Skaven hordes have arrived to Lustria. The Great Lustrian War has begun!	true
incidents_localised_description_fro_dyn_dis_great_uprising_stage_4_trigger	The Karaz Ankor, the great network of dwarven Karaks spanning across the whole old World, is under siege by all sides by hordes of Skaven!	true
incidents_localised_description_fro_dyn_dis_great_uprising_stage_5_trigger	Karaz-a-Karak, the ancestral home of the Dawi, is under siege by hordes and hordes of Skaven! May this be the end of the Dawi?	true
mct_dyn_dis_the_great_uprising_enable	Activar desastre "La Gran Ascendencia (legacy)"	true
mct_dyn_dis_the_great_uprising_enable_tooltip	Activa/desactiva el desastre "La Gran Ascendencia".\\n\\nTrece veces trece ciclos de la luna del caos os daré. Trece veces trece lunas esperaré. ¡Id con vuestras legiones y vuestros talleres! Traedme la victoria. ¡Traedme la dominación sobre este reino mortal! Debéis ser como uno, trabajar como uno, como un enjambre desbordando las alcantarillas -- todas las ratas deben moverse en la misma dirección. Sólo entonces heredaréis las ruinas de este mundo, sólo entonces gobernaréis. ¡Trece veces trece lunas! Fallad, y todos sufrires el destino del vidente.\\n\\nSe puede desactivar tranquilamente en mitad de una campaña, pero si ya has recibido el primer aviso, el desastre continuara.	true
diplomacy_strings_string_personality_desc_short_skaven_great_uprising	La oleada de ratas	true
diplomacy_strings_string_personality_desc_long_skaven_great_uprising	It comes from the deepest holes of the world, to burn the surface on the name of the Horned Rat.	true
effect_bundles_localised_description_fro_dyn_dis_great_uprising_global_effects	Morrslieb, la Luna Verde, está más cerca que nunca, nadie sabe porqué. Y los efectos de tal cercanía ya se están mostrando a lo largo y ancho del mundo.	true
effect_bundles_localised_title_fro_dyn_dis_great_uprising_global_effects	El verde brillo de Morrslieb	true
effects_description_fro_dyn_dis_skaven_corruption_mapwide	Corrupción Skaven: %+n	true
effects_description_fro_dyn_dis_storm_of_magic_all_factions	Posibilidad de Tormentas de Magia a lo largo y ancho del mundo.	true
incidents_localised_title_fro_dyn_dis_great_uprising_finish_before_stage_1	¡La amenaza Skaven ha sido eliminada!	true
incidents_localised_title_fro_dyn_dis_great_uprising_finish	¡Morrslieb retrocede!	true
incidents_localised_description_fro_dyn_dis_great_uprising_finish_before_stage_1	Morrslieb parece haber vuelto a su tamaño natural. Parece que nunca sabremos qué ha causado tal fenómeno.	true
incidents_localised_description_fro_dyn_dis_great_uprising_finish	Tras toda la destrucción, Morrslieb ha vuelto a su órbita natural.	true
mct_dyn_dis_max_simul	Max. "Fin del Juego" concurrentes	true
mct_dyn_dis_max_simul_tooltip	Cantidad máxima de desastres "Fin del Juego" que pueden suceder al mismo tiempo.	true
incidents_localised_title_fro_dyn_dis_raiding_parties_early_end	¡Vendito sea Manaan!	true
incidents_localised_description_fro_dyn_dis_raiding_parties_early_end	Ya sea por la bendición de Manaan o por pura suerte, una tormenta ha descargado todo su poder sobre la flota pirata que se preparaba para asaltar. Podemos descansar... por ahora.	true
mct_dyn_dis_debug	Activa modo "Debug"	true
mct_dyn_dis_debug_tooltip	Activa/desactiva el modo "debug".\\n\\nEn modo debug, todos los desastres se disparan instantáneamente, y casi todos los temporizadores se reducen a 1 turno. Sólo afecta a desastres que lo soportan.	true
mct_dyn_dis_max_turn_value	Turno máximo	true
mct_dyn_dis_max_turn_value_tooltip	Turno máximo en el que comenzará este desastre. Si no ha empezado al llegar este turno, el desastre comenzará en este turno, siempre y cuando se cumplan todos los requisitos extra que tenga.\\nPara no forzar y que el desastre empiece naturalmente basado en sus propios requisitos, ponlo a 0.	true
mct_dyn_dis_disable_vanilla_endgames	Desactiva Crisis de "Fin del Juego" vanilla	true
mct_dyn_dis_disable_vanilla_endgames_tooltip	NOTA: ¡Esto puede que cause fallos si se activa y desactiva en mitad de una campaña! Y para que desactivar esta opción haga efecto es necesario guardar y recargar la campaña en curso tras desactivarla.\\n\\nEste ajuste activa/desactiva las "Crisis de Fin de Juego" del juego. Si las dejas activas, es posible que recibas crisis duplicadas: una del juego y una de este mod.	true
effects_description_fro_dyn_dis_chaos_corruption_mapwide	Corrupción del Caos: %+n	true
effect_bundles_localised_title_fro_dyn_dis_chaos_invasion_global_effects	Flujo de las Puertas Polares	true
missions_localised_description_dyn_dis_grudge_too_far_we_ran_out_of_book_1	After thousands of years, the Dwarven holds are ready. The long lost holds will be retaken! The book will be empty of Grudges!	true
missions_localised_title_dyn_dis_grudge_too_far_we_ran_out_of_book_1	El fin de una era	true
missions_localised_description_dyn_dis_grudge_too_far_we_ran_out_of_book_2	The Dwarfs have declared war onto the whole world! Defeat them and make the incredible famed wealth of the Karaz-Ankor yours!	true
missions_localised_title_dyn_dis_grudge_too_far_we_ran_out_of_book_2	Las riquezas del Karaz-Ankor	true
missions_localised_title_dyn_dis_chaos_invasion_endtimes_unfolding_1	End Times Unfolding	true
missions_localised_description_dyn_dis_chaos_invasion_endtimes_unfolding_1	Los dioses del Caos han hecho su movimiento. Ahora... te toca a tí.	true
missions_localised_description_dyn_dis_aztec_invasion_d_day_1	The Slanns of Lustria have finally deciphered the Great Plan of the Old Gods. And you're not on it.	true
missions_localised_title_dyn_dis_aztec_invasion_d_day_1	Rompiendo el Gran Plan	true
missions_localised_title_dyn_dis_pyramid_of_nagash_guess_whos_back_1	¡Asalta la Pirámide Negra!	true
missions_localised_description_dyn_dis_pyramid_of_nagash_guess_whos_back_1	The Pyramid of Nagash must be taken away from their current occupiers, of the world will be turned into a land of dead.	true
missions_localised_description_dyn_dis_pyramid_of_nagash_guess_whos_back_2	The Black Pyramid of Nagash has been awaken! Kill the beings performing that horrible ritual before dead covers the world!	true
missions_localised_title_dyn_dis_pyramid_of_nagash_guess_whos_back_2	El fin del Gran Nigromante	true
missions_localised_title_dyn_dis_vampires_rise_planet_of_the_dead_1	Da descanso a los muertos	true
missions_localised_description_dyn_dis_vampires_rise_planet_of_the_dead_1	Muerte y decadencia corrompe los Vientos de la Magia. ¿Lo dejarás estar? ¿O resistirás la marea de muerte?	true
missions_localised_description_dyn_dis_waaagh_da_biggest_and_badest_waaagh_1	The Greenskin Hordes have assembled the bigger waaaghs ever seen since time immemorial. Would you be able to resist the Green Tide?	true
missions_localised_title_dyn_dis_waaagh_da_biggest_and_badest_waaagh_1	The Biggest and Badest Waaagh!	true
missions_localised_title_dyn_dis_wild_hunt_and_so_the_wild_hunt_begun_1	Caza a la Cacería Salvaje	true
missions_localised_description_dyn_dis_wild_hunt_and_so_the_wild_hunt_begun_1	For ages, Orion and his Wild Hunt have terrified the forces of the Old World. It's time the Hunters become the hunted.	true
missions_localised_title_dyn_dis_wild_hunt_and_so_the_wild_hunt_begun_2	¡Quema el Roble Eterno!	true
missions_localised_description_dyn_dis_wild_hunt_and_so_the_wild_hunt_begun_2	¡E incinera todo lo que es ámbar!	true
incidents_localised_title_dyn_dis_grudge_too_far_early_end	¡Bebidas gratis para todos!	true
incidents_localised_description_dyn_dis_grudge_too_far_early_end	Seems like thanks to some large shipments of Bugman's Ale, courtesy of a mysterious patron, the Dwarfs have calm down... for now.	true
incidents_localised_title_dyn_dis_pyramid_of_nagash_vampires_early_end	La Pirámide Negra vuelve a la normalidad	true
incidents_localised_description_dyn_dis_pyramid_of_nagash_vampires_early_end	La Pirámide Negra parece haber regresado a su estado normal... por ahora.	true
incidents_localised_title_dyn_dis_pyramid_of_nagash_tomb_kings_early_end	La Pirámide Negra vuelve a la normalidad	true
incidents_localised_description_dyn_dis_pyramid_of_nagash_tomb_kings_early_end	La Pirámide Negra parece haber regresado a su estado normal... por ahora.	true
incidents_localised_title_dyn_dis_vampires_rise_early_end	Vampire's Fall	true
incidents_localised_description_dyn_dis_vampires_rise_early_end	After an unexpected reduction on the Winds of Magic, it seems the potential vampire thread has been reduced... for now.	true
incidents_localised_title_dyn_dis_waaagh_early_end	El fin del Waaagh	true
incidents_localised_description_dyn_dis_waaagh_early_end	As fast as it appeared, the Greatest Waaagh has been reduced to nothing. The Greenskins are back to their normal routine... for now.	true
incidents_localised_title_dyn_dis_wild_hunt_early_end	Los bosques se calman	true
incidents_localised_description_dyn_dis_wild_hunt_early_end	The great pressure that came from the Great Forests of the world is gone... for now.	true
incidents_localised_title_dyn_dis_aztec_invasion_early_end	¡Alucinaciones!	true
incidents_localised_description_dyn_dis_aztec_invasion_early_end	After waiting in fear, it seems those ships of stone were no more than a mere allucination. Trade has resume... for now.	true
incidents_localised_title_dyn_dis_chaos_invasion_stage_2_trigger	¡La gran invasión del Caos de nuestra era comienza!	true
incidents_localised_description_dyn_dis_chaos_invasion_stage_2_trigger	The Old World despairs, for Archaon the Everchosen, Champion of Chaos, has come and with him the End Times!\\n\\nOnce a Templar Priest of Sigmar, Archaon uncovered a terrible secret which drove him to reject his faith and pledge himself to the Gods of Chaos. In their service, he has devoted himself to the world’s destruction, defeating all challengers and rising to a position of dominance over all in the Chaos Wastes, achieving the ultimate accolade - his dark coronation as the Everchosen; the vessel through which the Dark Gods unite their followers to turn the world into a Realm of Chaos. It is to his banner that the Warriors of Chaos have been flocking, and it is his malign will that now drives them forth in a terrible wave of destruction destined to sweep all before it.\\n\\nThe earth groans beneath the iron-shod feet of Archaon’s numberless horde, and with him comes death. Is there any champion of the Old World mighty enough to withstand the Lord of the End Times?	true
incidents_localised_title_dyn_dis_chaos_invasion_stage_1_trigger	El ascenso del Caos	true
